ID;INEP;NOME;ENDERECO;MUNICIPIO;UF;GRE
36468003-3715-47fe-9ce9-b3c694420e65;25030566;EEEM ADALGISA TEODULO DA FONSECA;RUA JOAO SILVINO DA FONSECA, SN PROXIMO AO DETRAN E. CENTRO. 58780-000 Itaporanga - PB.;Itaporanga;PB;07ª GRE (Itaporanga)
04ac4232-534c-48fd-b462-40de85623318;25030698;EEEF SIMEAO LEAL;PRACA DEP BALDUINO DE CARVALHO, 32 ESCOLA. CENTRO. 58780-000 Itaporanga - PB.;Itaporanga;PB;07ª GRE (Itaporanga)
1ea76921-f36b-4652-b577-d9089258f0c4;25031155;ECI FRANCELINO DE ALENCAR NEVES;R. João Firmino Gomes, 310 - CENTRO, Itaporanga - PB, 58780-000;Itaporanga;PB;07ª GRE (Itaporanga)
45593772-8827-4660-ae29-a67f3bcddd1d;25031481;ECI JOAO DE SOUSA PRIMO;AV JOSE TEOTONIO DOS SANTOS, 00 CENTRO. 58790-000 Pedra Branca - PB.;Pedra Branca;PB;07ª GRE (Itaporanga)
f6dad4e0-8a83-43ad-9394-1e6c1fb80b46;25031783;ECIT PRESIDENTE KENEDY;TRAVESSA ELISA FERREIRA LIMA, 0 CENTRO. 58985-000 Santana de Mangueira - PB.;Santana de Mangueira;PB;07ª GRE (Itaporanga)
1436bfff-94fa-449d-9850-516f66ed3d15;25032518;ECI OTAVIANO L DA SILVA;RUA JOSE PEREIRA LIMA, SN CENTRO. 58784-000 São José de Caiana - PB.;São José de Caiana;PB;07ª GRE (Itaporanga)
aeae95b2-ab72-4836-9e7f-ca3c5493a32f;25032968;ECI PROFESSOR JOSEFA JUSTINO GOMES;AV PREF IVO PINTO RAMALHO, 580 PREDIO. BELA VISTA. 58955-000 Serra Grande - PB.;Serra Grande;PB;07ª GRE (Itaporanga)
ccb9abcf-5045-4dbc-aeeb-cee00efb3474;25033204;ECI JOSE NOMINANDO;RUA JOSE PEDRO FIRMINO, 41 PREDIO. CENTRO. 58748-000 Água Branca - PB.;Água Branca;PB;11ª GRE (Princesa Isabel)
82dc2158-a1b3-451e-83c4-89c86de6fbc2;25033786;ECI GERTRUDES LEITE;JULIA DE GOIS SN, SN SAO CRISTOVAO. 58695-000 Desterro - PB.;Desterro;PB;06ª GRE (Patos)
a9cf3ff4-b894-42d0-88a7-dee9988aed11;25033794;ECIT PEDRO TERTO DA CUNHA;RUA FERNANDES FERREIRA, SN ESCOLA. CENTRO. 58698-000 Cacimbas - PB.;Cacimbas;PB;06ª GRE (Patos)
045b5163-eb6d-42f7-98a7-a6c3358e7841;25033816;EEEF SILVEIRA DANTAS;PRACA NOSSA SENHORA DO DESTERRO, 25 PRACA NOSSA SENHORA. CENTRO. 58695-000 Desterro - PB.;Desterro;PB;06ª GRE (Patos)
c55ebf4b-d30e-467c-808b-588c56e1bf0c;25034200;ECIT MARIA DO SOCORRO RAMALHO QUIRINO;RUA DELMIRO DANTAS, SN CENTRO. 58745-000 Imaculada - PB.;Imaculada;PB;11ª GRE (Princesa Isabel)
fe1a6647-1c49-408d-9992-98d78a6da471;25034219;EEEFM SANTA CATARINA;RUA PROFESSOR HENRIQUE ANTONIO DA SILVA, SN RURAL. 58745-000 Imaculada - PB.;Imaculada;PB;
95640dd2-cfdd-41d4-8a67-02af0dca194f;25034227;EEEF DELMIRO DANTAS;RUA DELMIRO DANTAS, SN CENTRO. 58745-000 Imaculada - PB.;Imaculada;PB;11ª GRE (Princesa Isabel)
2a7c56e7-e1da-43f9-99a2-ac3588158eb0;25034820;EEEF AMERICA FLORENTINO;AV CAPITAO DALMO TEIXEIRA, 626 ESCOLA. CENTRO. 58750-000 Juru - PB.;Juru;PB;11ª GRE (Princesa Isabel)
963147bb-e478-4225-ae48-e09bf606512d;25034839;ECIT ARLINDA PESSOA DA SILVA;AVENIDA DALMO TEIXEIRA SETOR SERRA BRANCA, SN PROXIMO AO CONTORNO. SERRA BRANCA. 58750-000 Juru - PB.;Juru;PB;
6ddea12a-f10e-46a7-ac0d-aea5826e8907;25035444;EEEF PROFESSORA ANTONIA DINIZ MAIA;PRACA JOAQUIM SIMAO, 6 PREDIO. CENTRO. 58995-000 Manaíra - PB.;Manaíra;PB;11ª GRE (Princesa Isabel)
ef8d2b53-afc1-4bfc-80bc-cd64cb9f93b7;25036017;ECI MONSENHOR SEBASTIAO RABELO;RUA PROJETADA, SN POPULARES. 58995-000 Manaíra - PB.;Manaíra;PB;11ª GRE (Princesa Isabel)
6d43d5c4-6c86-44ea-bb63-20d991d4f3ac;25036297;EEEF PROFESSORA IRACEMA MARQUES DE LIMA;RUA SOLON DE LUCENA, 55 ESCOLA. CENTRO. 58755-000 Princesa Isabel - PB.;Princesa Isabel;PB;11ª GRE (Princesa Isabel)
44680cbf-48c2-4e80-be0f-0e63a0f402e5;25036300;EEEM GAMA E MELO;AVENIDA PRESIDENTE JOAO PESSOA, 460 PREDIO. CENTRO. 58755-000 Princesa Isabel - PB.;Princesa Isabel;PB;11ª GRE (Princesa Isabel)
63e20e2b-7c0d-45ae-9b2f-7e32b661b768;25036335;ECIT NOSSA SENHORA DO BOM CONSELHO;RUA PSICOLOGA SIMONE PEREIRA, 36 CONJUNTO ALOYSIO PEREIRA. 58755-000 Princesa Isabel - PB.;Princesa Isabel;PB;11ª GRE (Princesa Isabel)
0ca9fd30-de97-4a41-9c99-b17fcb117c93;25036343;EEEF MINISTRO ALCIDES VIEIRA CARNEIRO;PRACA DR JOSE NOMINANDO DINIZ, 52 CENTRO. 58755-000 Princesa Isabel - PB.;Princesa Isabel;PB;11ª GRE (Princesa Isabel)
356ff451-dd88-4a71-a582-c0df503f5a90;25037129;EEEF MARCAL LIMA NETO;POVOADO VARZEA, 1 VARZEA. RURAL. 58755-000 Princesa Isabel - PB.;Princesa Isabel;PB;
53dce2f5-9935-45bf-abf4-9da19206819d;25037137;ECI DEPUTADO NOMINANDO MUNIZ DINIZ;RUA DA BOA VISTA, SN VIZINHO A SECRETARIA. CENTRO. 58758-000 São José de Princesa - PB.;São José de Princesa;PB;11ª GRE (Princesa Isabel)
5606ea48-2442-45c5-89fa-95393f7176fa;25037226;ECI ADRIANO FEITOSA;RUA SEVERINO CARLOS DE ANDRADE, 489 CENTRO. 58753-000 Tavares - PB.;Tavares;PB;11ª GRE (Princesa Isabel)
01447a69-c7ea-45a2-ac9c-8b4848e10cf7;25037234;EEEM POVOADO SILVESTRE;POVOADO SILVESTRE, SN CENTRO. CENTRO. 58753-000 Tavares - PB.;Tavares;PB;11ª GRE (Princesa Isabel)
e87a3aa7-4eeb-46da-9baa-7546b01ab281;25037781;ECI ANTONIO MOACIR DANTAS CAVALCANTI;AVENIDA JOSE JERONIMO DA SILVA, 282 ESCOLA. CENTRO. 58737-000 Maturéia - PB.;Maturéia;PB;06ª GRE (Patos)
e8a5008d-3bdd-46da-a10e-45c2ad7e34f1;25037803;ECIT SEBASTIAO GUEDES DA SILVA;RUA CONEGO SERRAO, 21 CENTRO. 58735-000 Teixeira - PB.;Teixeira;PB;06ª GRE (Patos)
451c4382-7a4e-48d0-8d58-c4a1019c555e;25037838;EEEF DE POCOS;SITIO POCOS, SITIO POCOS. 58735-000 Teixeira - PB.;Teixeira;PB;
31ed4ab2-f8f9-4e27-8205-db1fce02967f;25037846;EEEFM DOUTOR MANOEL DANTAS;RUA DR MANOEL DANTAS, 20 CENTRO. 58735-000 Teixeira - PB.;Teixeira;PB;06ª GRE (Patos)
fae69592-c5a3-4b45-8253-fa491e7c39b0;25038478;ECIT EZEQUIEL FERNANDES;RUA ALCINDO LEITE, 490 CENTRO. 58640-000 Junco do Seridó - PB.;Junco do Seridó;PB;06ª GRE (Patos)
c3c9ebd7-600a-40c7-aa02-9bebd3158fec;25038796;ESCOLA CIDADA INTEGRAL ESTADUAL DE ENSINO MEDIO DR FENELON NOBREGA;RUA JOSE MACIEL DE SOUZA, 56 CENTRO. 58650-000 Salgadinho - PB.;Salgadinho;PB;06ª GRE (Patos)
d88cf521-f544-4883-b5a6-06eb16638888;25039032;ECIT PADRE JERONIMO LAUWEN;RUA DOM QUINTINO, SN SAO JOSE. 58600-000 Santa Luzia - PB.;Santa Luzia;PB;06ª GRE (Patos)
a2392325-e59c-43da-a058-93a6a36b528c;25039040;EEEF MONSENHOR PEDRO ANISIO;RUA BONIFACIO NOBREGA, 626 SAO JOSE. 58600-000 Santa Luzia - PB.;Santa Luzia;PB;06ª GRE (Patos)
6773ec26-7bff-4e30-90d0-e300af7a6aaa;25039075;EEEFM ARLINDO BENTO DE MORAIS;RUA ANTONIO MOISES, 264 PREDIO. SAO JOSE. 58600-000 Santa Luzia - PB.;Santa Luzia;PB;06ª GRE (Patos)
6c2e747b-4b0e-4f89-8c27-619a7e32cc1b;25039083;ECI COELHO LISBOA;AVENIDA JOSE AMERICO, SN PREDIO. CENTRO. 58600-000 Santa Luzia - PB.;Santa Luzia;PB;06ª GRE (Patos)
b73b6c1f-90c5-45d9-af90-b32836b871b7;25039504;ECIT OLAVO BILAC;RUA SEVERINO ARNALDO, 325 PREDIO. CENTRO. 58610-000 São José do Sabugi - PB.;São José do Sabugi;PB;06ª GRE (Patos)
033ecd99-c484-44dc-95aa-6e4b4861dd1c;25039997;EEEFM NAPOLEAO ABDON DA NOBREGA;MINISTRO JOAO AGRIPINO, 175 CENTRO. 58625-000 São Mamede - PB.;São Mamede;PB;06ª GRE (Patos)
f9ca8c66-57cb-4058-a975-542242210b15;25040014;ECITE SERAFICO NOBREGA;RUA JOSE PEQUENO DE OLIVEIRA, 91 CENTRO. 58625-000 São Mamede - PB.;São Mamede;PB;06ª GRE (Patos)
28467462-6962-4bf3-8c82-f083c34af5e7;25040600;ECI ODILON DE FIGUEIREDO;RUA FRANCISCO DAS CHAGAS BRITO, 97 CENTRO. 58620-000 Várzea - PB.;Várzea;PB;06ª GRE (Patos)
ee99f406-3b16-44d9-890b-ad68e9e42d87;25040820;ECIT IOLANDA TEREZA CHAVES LIMA;RUA VALDEMIR DE SOUSA SOUTO, SN PROXIMO AO MERCADO C. CENTRO. 58167-000 Cubati - PB.;Cubati;PB;04ª GRE (Cuité)
026fa12c-ec8c-47c9-988e-702e047e1a7a;25041185;ECI PREFEITO AGUITONIO DANTAS;RUA PROFESSOR LUIZ PINHEIRO, 271 INSTITUICAO DE ENSIN. CENTRO. 58195-000 Frei Martinho - PB.;Frei Martinho;PB;04ª GRE (Cuité)
d262dd58-04a4-4ce1-81b8-83cdeed3318d;25041525;ECIT DEPUTADO GENIVAL MATIAS;RUA PROFESSORA JOSEFA NETA FREIRE, 180 CENTRO. 58660-000 Juazeirinho - PB.;Juazeirinho;PB;03ª GRE (Campina Grande)
d2aae965-8817-4c90-b4c4-189b73818fee;25042351;ECI ANTONIO COELHO DANTAS;RUA JORGE MENDONCA, 200 CENTRO. 58184-000 Nova Palmeira - PB.;Nova Palmeira;PB;04ª GRE (Cuité)
2464d40a-ab5f-4a12-a369-69738808f3e6;25042661;ECI GRACILIANO FONTINI LORDAO;RUA PROFESSOR FRANCISCO FERREIRA, 13 PROXIMO AO CENTRO PR. CENTRO. 58180-000 Pedra Lavrada - PB.;Pedra Lavrada;PB;04ª GRE (Cuité)
8379b9a0-bb4d-4d75-b8b6-f9d399020c98;25043269;EEEM SEVERINO GREGORIO DANTAS;RUA JOSE MARIA DA COSTA LIMA, 00 ZONA RURAL. 58187-000 Picuí - PB.;Picuí;PB;
892bef7d-9d77-4863-ae37-5233ad55a648;25043277;ECIT PROFESSOR LORDAO;RUA PROJETADA, SN CAMPO DE AVIACAO. CENECISTA. 58187-000 Picuí - PB.;Picuí;PB;04ª GRE (Cuité)
7b931128-3ddf-42f1-ab24-70340740ce3f;25043870;ECI MARIA FRANCINETE DE SOUZA;RUA MANOEL CORDEIRO, 50 CENTRO. 58158-000 São Vicente do Seridó - PB.;São Vicente do Seridó;PB;04ª GRE (Cuité)
